report_id,site_name,page,pottery,typology,term_found,term_found_normalized_en,quantity,start_date,end_date,date_method,context_label,pot_name_certainty_level,pot_name_llm_reasoning,pot_presence_certainty_level,pot_presence_llm_reasoning,dates_certainty_level,date_llm_reasoning,overall_certainty_level,original_text
12732,Heerlen,2,Pottery,,potscherfje met dekselgeul,Pottery,1,151,250,claude_text,present,7,Described as a generic pot sherd with lid groove used in kiln arch construction.,9,"Explicitly found as structural element in kiln arch, inv. nrs 7899-7909.",8,date read from the passage,8,een enkel potscherfje met dekselgeul
12732,Heerlen,2,Mortarium,,wrijfschaalfragmenten,Mortarium,,151,250,claude_text,present,8,Named as 'wrijfschaalfragmenten' (mortarium fragments) placed on the kiln tongue.,9,"Explicitly found on the kiln tongue, inv. nrs 7899-7909.",8,date read from the passage,8,"De punt van de tong was eveneens voorzien van op elkaar geplaatste wrijfschaalfragmenten (zie foto 3). Deze wrijfschaalfragmenten, zowel met horizontale als met vertikale randen"
12732,Heerlen,2,Pottery,,aardewerkfragmenten,Pottery,,151,250,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,"Explicitly found in kiln fill, inv. nrs 7861-7870.",8,date read from the passage,6,In de ovenvulling bevonden zich slechts enkele aardewerkfragmenten (inv. nrs 7861 t/m 7870) die voor een gedeelte mogelijk afkomstig zijn van de boogkonstrukties en eveneens te dateren zijn van de 2e helft 2e - 1e helft 3e eeuw
12732,Heerlen,2,White-yellow coarse ware pot,,potten van witgeel ruwwandig aardewerk,White-yellow coarse ware pot,1,101,200,claude_text,present,9,"Explicitly described as right pot of white-yellow coarse ware with barbotine decoration, inv. nr 7871.",10,"Explicitly found at kiln entrance, inv. nr 7871.",8,date read from the passage,9,"De rechter pot is voorzien van 8 paren van afwisselend 2 koncentrische en 2 gedeeltelijk elkaar overlastende ringen in geelwitte barbotine (zie afb. 1, inv. nr 7871). De datering ervan is 2e eeuw"
12732,Heerlen,2,Jug,,kruik,Jug,1,151,250,claude_text,present,9,"Explicitly named as 'kruik' (jug/flagon), a kiln waster, inv. nr 7872.",10,"Explicitly found at kiln entrance, inv. nr 7872.",8,date read from the passage,9,"De middelste kruik, een misbaksel, heeft een twee-ledig oor en een uitschenkuuir (inv. nr 7872, datering 2e helft 2e - 1e helft 3e eeuw)"
12732,Heerlen,3,White-yellow coarse ware pot,,linker pot,White-yellow coarse ware pot,1,151,250,claude_text,present,9,"Explicitly described as left pot of same type as right pot (white-yellow coarse ware) with zigzag barbotine, inv. nr 7873.",10,"Explicitly found at kiln entrance, inv. nr 7873.",8,date read from the passage,9,De linker pot is van hetzelfde type als de rechter en dateert uit dezelfde periode. Alleen is hier de barbotine-dekoratie verschillend. Deze bestaat uit 16 lijnen die in een zigzagpatroon zijn geplaatst (inv. nr 7873)
12732,Heerlen,3,Coarse ware bowl,,kom van ruwwandig witgeel baksel,Coarse ware bowl,1,176,225,claude_text,present,9,"Explicitly named as coarse ware bowl of white-yellow fabric, inv. nr 7874.",10,"Explicitly found in the stoker's pit, inv. nr 7874.",8,date read from the passage,9,"inv. nr 7874, een kom van ruwwandig witgeel baksel, met naar binnen verdikte rand, waarop 2 ondiepe horizontale groeven. Datering eind 2e - begin 3e eeuw"
12732,Heerlen,3,Coarse ware bowl,,"ruwwandige kom van witgeel baksel, met dekselgeul",Coarse ware bowl,1,151,250,claude_text,present,9,"Explicitly named as coarse ware bowl of white-yellow fabric with lid groove, inv. nr 7875.",10,"Explicitly found in the stoker's pit, inv. nr 7875.",8,date read from the passage,9,"inv. nr 7875, een ruwwandige kom van witgeel baksel, met dekselgeul. Boven het midden van de buikwand bevinden zich 2 ondiepe horizontale groeven. Datering 2e helft 2e - 1e helft 3e eeuw"
12732,Heerlen,3,Coarse ware bowl,,ruwwandige kom van witgeel baksel,Coarse ware bowl,1,176,250,claude_text,present,9,"Explicitly named as coarse ware bowl of white-yellow fabric, inv. nr 7876.",10,"Explicitly found in the stoker's pit, inv. nr 7876.",8,date read from the passage,9,"inv. nr 7876, een ruwwandige kom van witgeel baksel met in het midden 2 ondiepe horizontale groeven. Datering eind 2e - 1e helft 3e eeuw"
12732,Heerlen,3,Mortarium,,wrijfschalen met horizontale en vertikale randen,Mortarium,,151,250,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,"Explicitly found in the stoker's pit, inv. nrs 7874-7898.",8,date read from the passage,6,"fragmenten van o.a. wrijfschalen met horizontale en vertikale randen, bekers, honingpotten, deksels, één- en twéé-orige kruiken en een gedeelte van een grote twee-orige amphora. Deze stukken zijn te dateren tussen de 2e helft 2e en 1e helft 3e eeuw"
12732,Heerlen,3,Beaker,,bekers,Beaker,,151,250,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,"Explicitly found in the stoker's pit, inv. nrs 7874-7898.",8,date read from the passage,6,"fragmenten van o.a. wrijfschalen met horizontale en vertikale randen, bekers, honingpotten, deksels, één- en twéé-orige kruiken en een gedeelte van een grote twee-orige amphora"
12732,Heerlen,3,Honey pot,,honingpotten,Honey pot,,151,250,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,"Explicitly found in the stoker's pit, inv. nrs 7874-7898.",8,date read from the passage,6,"fragmenten van o.a. wrijfschalen met horizontale en vertikale randen, bekers, honingpotten, deksels, één- en twéé-orige kruiken en een gedeelte van een grote twee-orige amphora"
12732,Heerlen,3,Lid,,deksels,Lid,,151,250,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,"Explicitly found in the stoker's pit, inv. nrs 7874-7898.",8,date read from the passage,6,"fragmenten van o.a. wrijfschalen met horizontale en vertikale randen, bekers, honingpotten, deksels, één- en twéé-orige kruiken en een gedeelte van een grote twee-orige amphora"
12732,Heerlen,3,Single-handled jug,,één-orige kruiken,Single-handled jug,,151,250,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,"Explicitly found in the stoker's pit, inv. nrs 7874-7898.",8,date read from the passage,6,één- en twéé-orige kruiken en een gedeelte van een grote twee-orige amphora
12732,Heerlen,3,Two-handled jug,,twéé-orige kruiken,Two-handled jug,,151,250,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,"Explicitly found in the stoker's pit, inv. nrs 7874-7898.",8,date read from the passage,6,één- en twéé-orige kruiken en een gedeelte van een grote twee-orige amphora
12732,Heerlen,3,Amphora,,grote twee-orige amphora,Amphora,1,151,250,claude_text,present,9,Explicitly named as a large two-handled amphora from the stoker's pit.,9,"Explicitly found in the stoker's pit, inv. nrs 7874-7898.",8,date read from the passage,9,een gedeelte van een grote twee-orige amphora. Deze stukken zijn te dateren tussen de 2e helft 2e en 1e helft 3e eeuw
